City,State Name,total crime rate (per 1000),Education Ranking ,cost of living index,Housing Budget,Sunshine,Air quailty,Population Density,Military,Latitude,Longitude
Louisville,Kentucky,14.72227383,131,91.6,1125,55,11.2,907.6,FALSE,38.1663,-85.6485
South Bend,Indiana,55.45201287,132,87.2,800,Nah,10,944.5,FALSE,41.6767,-86.2696
Wichita Falls,Texas,33.92602653,133,85.7,847.5,Nah,11.3,561.1,FALSE,33.9072,-98.5291
Peoria,Illinois,47.92934072,134,86.7,750,54,9.9,906.6,FALSE,40.752,-89.6154
Tyler,Texas,33.75728819,135,92.8,1295,Nah,10.5,711.4,FALSE,32.3184,-95.3062
Amarillo,Texas,46.17083507,136,88.2,1200,72,6.2,748,FALSE,35.1984,-101.8316
Allentown,Pennsylvania,26.69566288,137,98.9,1300,Nah,9.9,2663.3,FALSE,40.5961,-75.4756
Akron,Ohio,42.1968648,138,89.4,795,Nah,8.7,1230.5,FALSE,41.0798,-81.5219
Mesa,Arizona,22.45638413,139,102.4,1475,Nah,12.7,1415.7,FALSE,33.4015,-111.7178
Baton Rouge,Louisiana,62.26659657,140,91.1,1200,Nah,8.8,993.9,FALSE,30.442,-91.1311
Abilene,Texas,28.86831359,141,89.1,1095,69,9.2,451.3,FALSE,32.4543,-99.7384
Erie,Pennsylvania,23.92679007,142,91.8,950,Nah,7.9,1948.6,FALSE,42.1167,-80.0733
Fayetteville,North Carolina,49.28813559,143,90.4,947,Nah,8.2,550,FALSE,35.085,-78.9772
Davenport,Iowa,44.21243847,144,87.2,995,Nah,9.4,618.5,FALSE,41.5565,-90.6053
Provo,Utah,16.23019225,145,100.9,1785,Nah,7.7,1082.6,FALSE,40.2457,-111.6457
Birmingham,Alabama,6.378323013,146,90.7,850,58,12.6,553.9,FALSE,33.5279,-86.7971
Ventura,California,30.70898599,147,132.2,2700,Nah,8.7,1280.4,FALSE,34.275,-119.227778
Springfield,Illinois,93.11903566,148,106.5,900,57,8.7,726,FALSE,39.7709,-89.654
Salem,Oregon,63.80263718,149,105.8,1495,Nah,8,1358.7,FALSE,44.9233,-123.0244
El Paso,Texas,25.31181218,150,88.6,1175,83,9.2,1015.8,FALSE,31.8476,-106.43
